time,axial_force,transversal_displacement
0.0000000E+00,-0.6786853E+01,0.0000000E+00
0.1000000E+02,-0.6617219E+02,0.0000000E+00
0.2000000E+02,-0.1321559E+03,0.0000000E+00
0.3000000E+02,-0.1981396E+03,0.0000000E+00
0.4000000E+02,-0.2641233E+03,0.1923000E-02
0.5000000E+02,-0.3301071E+03,0.1923000E-02
0.6000000E+02,-0.3960908E+03,0.1923000E-02
0.7000000E+02,-0.4620745E+03,0.3842000E-02
0.8000000E+02,-0.5280582E+03,0.3842000E-02
0.9000000E+02,-0.5940419E+03,0.5755000E-02
0.1000000E+03,-0.6600256E+03,0.5755000E-02
0.1100000E+03,-0.7260094E+03,0.5755000E-02
0.1200000E+03,-0.7919931E+03,0.5755000E-02
0.1300000E+03,-0.8579768E+03,0.7667000E-02
0.1400000E+03,-0.9239605E+03,0.9590000E-02
0.1500000E+03,-0.9899442E+03,0.9590000E-02
0.1600000E+03,-0.1053789E+04,0.9590000E-02
0.1700000E+03,-0.1122455E+04,0.1151300E-01
0.1800000E+03,-0.1187714E+04,0.1151300E-01
0.1900000E+03,-0.1256203E+04,0.1535100E-01
0.2000000E+03,-0.1317871E+04,0.1343200E-01
0.2100000E+03,-0.1385376E+04,0.1343200E-01
0.2200000E+03,-0.1452687E+04,0.1343200E-01
0.2300000E+03,-0.1519221E+04,0.1343200E-01
0.2400000E+03,-0.1582525E+04,0.1535100E-01
0.2500000E+03,-0.1650069E+04,0.1535100E-01
0.2600000E+03,-0.1715145E+04,0.1677500E-01
0.2700000E+03,-0.1785178E+04,0.1628600E-01
0.2800000E+03,-0.1846928E+04,0.1917600E-01
0.2900000E+03,-0.1911933E+04,0.1917600E-01
0.3000000E+03,-0.1974617E+04,0.1917600E-01
0.3100000E+03,-0.2038484E+04,0.2205800E-01
0.3200000E+03,-0.2099745E+04,0.2301800E-01
0.3300000E+03,-0.2162624E+04,0.2494100E-01
0.3400000E+03,-0.2221128E+04,0.2494100E-01
0.3500000E+03,-0.2278790E+04,0.2494100E-01
0.3600000E+03,-0.2334436E+04,0.2494100E-01
0.3700000E+03,-0.2390777E+04,0.2494100E-01
0.3800000E+03,-0.2440758E+04,0.2494100E-01
0.3900000E+03,-0.2491138E+04,0.2494100E-01
0.4000000E+03,-0.2537856E+04,0.2827900E-01
0.4100000E+03,-0.2572699E+04,0.3021800E-01
0.4200000E+03,-0.2602163E+04,0.3212200E-01
0.4300000E+03,-0.2612589E+04,0.3452700E-01
0.4400000E+03,-0.2610314E+04,0.3645000E-01
0.4500000E+03,-0.2586363E+04,0.3645000E-01
0.4600000E+03,-0.2548407E+04,0.3645000E-01
0.4700000E+03,-0.2503804E+04,0.3741300E-01
0.4800000E+03,-0.2455915E+04,0.3837300E-01
0.4900000E+03,-0.2406721E+04,0.4603600E-01
0.5000000E+03,-0.2377708E+04,0.4603600E-01
0.5100000E+03,-0.2352508E+04,0.4988200E-01
0.5200000E+03,-0.2333004E+04,0.5011200E-01
0.5300000E+03,-0.2317685E+04,0.5754500E-01
0.5400000E+03,-0.2304357E+04,0.5946800E-01
0.5500000E+03,-0.2290295E+04,0.5946800E-01
0.5600000E+03,-0.2285082E+04,0.5946800E-01
0.5700000E+03,-0.2279080E+04,0.5994100E-01
0.5800000E+03,-0.2274356E+04,0.6905400E-01
0.5900000E+03,-0.2270218E+04,0.6905400E-01
0.6000000E+03,-0.2267268E+04,0.6905400E-01
0.6100000E+03,-0.2254398E+04,0.7097700E-01
0.6200000E+03,-0.2255543E+04,0.7097700E-01
0.6300000E+03,-0.2253905E+04,0.7288900E-01
0.6400000E+03,-0.2250231E+04,0.7865100E-01
0.6500000E+03,-0.2244848E+04,0.7865100E-01
0.6600000E+03,-0.2244704E+04,0.8056300E-01
0.6700000E+03,-0.2240647E+04,0.8056300E-01
0.6800000E+03,-0.2236163E+04,0.8271900E-01
0.6900000E+03,-0.2232983E+04,0.8918600E-01
0.7000000E+03,-0.2235745E+04,0.9207200E-01
0.7100000E+03,-0.2230303E+04,0.9207200E-01
0.7200000E+03,-0.2228243E+04,0.9207200E-01
0.7300000E+03,-0.2226307E+04,0.9398400E-01
0.7400000E+03,-0.2223242E+04,0.9975000E-01
0.7500000E+03,-0.2227365E+04,0.9975000E-01
0.7600000E+03,-0.2220274E+04,0.1016620E+00
0.7700000E+03,-0.2218370E+04,0.1016620E+00
0.7800000E+03,-0.2219247E+04,0.1074240E+00
0.7900000E+03,-0.2216595E+04,0.1093360E+00
0.8000000E+03,-0.2214175E+04,0.1093360E+00
0.8100000E+03,-0.2214919E+04,0.1112590E+00
0.8200000E+03,-0.2212140E+04,0.1129430E+00
0.8300000E+03,-0.2210991E+04,0.1162860E+00
0.8400000E+03,-0.2212236E+04,0.1189330E+00
0.8500000E+03,-0.2212107E+04,0.1189330E+00
0.8600000E+03,-0.2208914E+04,0.1208450E+00
0.8700000E+03,-0.2208383E+04,0.1208450E+00
0.8800000E+03,-0.2203301E+04,0.1266070E+00
0.8900000E+03,-0.2208043E+04,0.1285190E+00
0.9000000E+03,-0.2205475E+04,0.1285190E+00
0.9100000E+03,-0.2206991E+04,0.1304420E+00
0.9200000E+03,-0.2202659E+04,0.1304420E+00
0.9300000E+03,-0.2206612E+04,0.1328330E+00
0.9400000E+03,-0.2204365E+04,0.1342660E+00
0.9500000E+03,-0.2206581E+04,0.1419510E+00
0.9600000E+03,-0.2205650E+04,0.1438630E+00
0.9700000E+03,-0.2200501E+04,0.1438630E+00
0.9800000E+03,-0.2202876E+04,0.1438630E+00
0.9900000E+03,-0.2199685E+04,0.1477050E+00
0.1000000E+04,-0.2208389E+04,0.1498670E+00
0.1010000E+04,-0.2202570E+04,0.1534600E+00
0.1020000E+04,-0.2203209E+04,0.1553720E+00
0.1030000E+04,-0.2197986E+04,0.1553720E+00
0.1040000E+04,-0.2200663E+04,0.1553720E+00
0.1050000E+04,-0.2197520E+04,0.1611340E+00
0.1060000E+04,-0.2200544E+04,0.1668810E+00
0.1070000E+04,-0.2203363E+04,0.1668810E+00
0.1080000E+04,-0.2199280E+04,0.1688000E+00
0.1090000E+04,-0.2196094E+04,0.1688000E+00
0.1100000E+04,-0.2195905E+04,0.1688000E+00
0.1110000E+04,-0.2199514E+04,0.1745660E+00
0.1120000E+04,-0.2197741E+04,0.1745660E+00
0.1130000E+04,-0.2199496E+04,0.1783900E+00
0.1140000E+04,-0.2197517E+04,0.1783900E+00
0.1150000E+04,-0.2198848E+04,0.1795910E+00
0.1160000E+04,-0.2205898E+04,0.1807820E+00
