deslocamento,JFC1,JFC2,JHC1,JHC2,JM1C1,JM1C2,JM2C1,JM2C2,PFC1,PFC2,PHC1,PHC2,PM1C1,PM1C2,PM2C1,PM2C2,expC1,expC2
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.786853,-13.22686
-0.005666666666666666,-65.63077389960459,-65.63077303804029,-70.1380067343414,-70.1380060730042,-67.6890797922379,-67.68907920115329,-67.71280607744289,-67.7128054465219,-66.9287611157071,-66.9287611157082,-67.7959625544265,-67.795962706088,-63.008865011009206,-63.008865011011295,-68.85327554068229,-68.8532755406814,,
-0.011333333333333332,-131.447961450077,-131.447983535889,-140.474748560119,-140.474771872697,-135.56988222658399,-135.56990468192498,-135.617458858539,-135.617481355839,-134.047566027644,-134.047566027645,-135.7846132849,-135.784635802122,-126.198439911611,-126.198439911609,-137.90329245809,-137.9032924581,,
-0.016999999999999998,-197.452218801233,-197.452253321185,-211.010926133377,-211.01096275114602,-203.64308177486,-203.643117046069,-203.714633334916,-203.714668672051,-201.357069587072,-201.35706958707598,-203.966631077692,-203.966668534261,-189.569292847545,-189.569292847546,-207.150681840353,-207.150681840364,,
-0.022666666666666665,-263.64415927071303,-263.644204882709,-281.74719650053197,-281.747244826501,-271.909311051241,-271.909357599935,-272.004962435638,-272.00500907150297,-268.857929411325,-268.85792941133496,-272.342662283191,-272.34271106606303,-253.121993718205,-253.121993718213,-276.596076894674,-276.59607689469004,,
-0.02833333333333333,-330.024404952758,-330.024464586912,-352.684225182646,-352.68428833766603,-340.369210790141,-340.369271618524,-340.489087251986,-340.489148198121,-336.550805897999,-336.550805898011,-340.913354514431,-340.913417440721,-316.857114195559,-316.85711419556196,-346.24011296414,-346.24011296416,,
-0.033999999999999996,-396.593588071648,-396.59366013590596,-423.82268856339994,-423.822765012668,-409.023432111063,-409.02350581655503,-409.167659343394,-409.167733124537,-404.436362238825,-404.436362238852,-409.67936578015195,-409.679443711902,-380.77522772646205,-380.775227726484,-416.083427532765,-416.083427532788,,
-0.03966666666666667,-463.352339561262,-463.35242192474504,-495.163262102313,-495.163349446464,-477.872625455868,-477.872709655835,-478.04132938607694,-478.041413681122,-472.515264433681,-472.51526443370904,-478.641359783531,-478.641448344425,-444.876909535001,-444.87690953503096,-486.12666023046205,-486.126660230495,,
-0.04533333333333333,-530.301289306447,-530.301382860957,-566.706619777207,-566.706718929596,-546.917439618963,-546.917535192889,-547.110746600616,-547.1108422909649,-540.7881813045971,-540.7881813046411,-547.7999926346849,-547.800092633632,-509.162736624591,-509.162736624624,-556.3704528380571,-556.370452838096,,
-0.05099999999999999,-597.441072461174,-597.441178364019,-638.4534412842121,-638.4535534576789,-616.158528969237,-616.1586370832421,-616.376565722583,-616.3766739785871,-609.2557845099141,-609.255784509969,-617.155928069241,-617.156040516025,-573.633287780161,-573.633287780222,-626.815449292116,-626.815449292171,,
