time,axial_force,transversal_displacement
0.0000000E+00,-0.7567254E+01,0.1923000E-02
0.1000000E+00,-0.7000733E+02,0.1923000E-02
0.2000000E+00,-0.1393852E+03,0.1923000E-02
0.3000000E+00,-0.2087630E+03,0.1923000E-02
0.4000000E+00,-0.2781409E+03,0.1923000E-02
0.5000000E+00,-0.3475188E+03,0.1923000E-02
0.6000000E+00,-0.4168966E+03,0.1923000E-02
0.7000000E+00,-0.4862745E+03,0.1923000E-02
0.8000000E+00,-0.5556523E+03,0.4156000E-02
0.9000000E+00,-0.6250302E+03,0.5777000E-02
0.1000000E+01,-0.6944081E+03,0.5777000E-02
0.1100000E+01,-0.7637859E+03,0.5777000E-02
0.1200000E+01,-0.8331638E+03,0.6872000E-02
0.1300000E+01,-0.9025416E+03,0.7868000E-02
0.1400000E+01,-0.9719195E+03,0.1077500E-01
0.1500000E+01,-0.1041297E+04,0.1157600E-01
0.1600000E+01,-0.1111560E+04,0.1157600E-01
0.1700000E+01,-0.1180617E+04,0.1156100E-01
0.1800000E+01,-0.1248931E+04,0.1156100E-01
0.1900000E+01,-0.1317378E+04,0.1349900E-01
0.2000000E+01,-0.1387235E+04,0.1461600E-01
0.2100000E+01,-0.1455604E+04,0.1542600E-01
0.2200000E+01,-0.1526486E+04,0.1542600E-01
0.2300000E+01,-0.1599253E+04,0.1542600E-01
0.2400000E+01,-0.1666801E+04,0.1656300E-01
0.2500000E+01,-0.1734009E+04,0.1736400E-01
0.2600000E+01,-0.1800752E+04,0.1846000E-01
0.2700000E+01,-0.1867020E+04,0.1928700E-01
0.2800000E+01,-0.1934042E+04,0.1928700E-01
0.2900000E+01,-0.2004011E+04,0.1928700E-01
0.3000000E+01,-0.2076883E+04,0.1928700E-01
0.3100000E+01,-0.2145861E+04,0.1928700E-01
0.3200000E+01,-0.2209820E+04,0.2152100E-01
0.3300000E+01,-0.2273978E+04,0.2314000E-01
0.3400000E+01,-0.2341071E+04,0.2314000E-01
0.3500000E+01,-0.2412627E+04,0.2534800E-01
0.3600000E+01,-0.2484940E+04,0.2892400E-01
0.3700000E+01,-0.2551671E+04,0.2892400E-01
0.3800000E+01,-0.2615322E+04,0.2892400E-01
0.3900000E+01,-0.2678303E+04,0.2892400E-01
0.4000000E+01,-0.2737178E+04,0.3006200E-01
0.4100000E+01,-0.2795461E+04,0.3086200E-01
0.4200000E+01,-0.2857417E+04,0.3086200E-01
0.4300000E+01,-0.2920448E+04,0.3086200E-01
0.4400000E+01,-0.2980089E+04,0.3198000E-01
0.4500000E+01,-0.3034817E+04,0.3680400E-01
0.4600000E+01,-0.3084821E+04,0.3857300E-01
0.4700000E+01,-0.3132801E+04,0.3857300E-01
0.4800000E+01,-0.3182424E+04,0.3857300E-01
0.4900000E+01,-0.3231085E+04,0.3843800E-01
0.5000000E+01,-0.3274125E+04,0.3888600E-01
0.5100000E+01,-0.3311376E+04,0.4438000E-01
0.5200000E+01,-0.3342801E+04,0.4438000E-01
0.5300000E+01,-0.3364954E+04,0.4438000E-01
0.5400000E+01,-0.3381094E+04,0.4657300E-01
0.5500000E+01,-0.3388171E+04,0.4822600E-01
0.5600000E+01,-0.3386532E+04,0.5046200E-01
